order,u_id,word,score,predict_word
1,22,altogether,0.502189,writhe
2,22,smooth,0.58754,smooth
3,22,though,0.597866,smooth
4,22,eight,0.789742,smooth
5,22,hundredth,0.743398,smooth
6,22,width,0.647612,smooth
7,22,bashful,0.618143,flush
8,22,chicanery,0.407724,jus
9,22,distinguish,0.385306,jus
10,22,camouflage,0.633211,jus
11,22,jupe,0.703029,flush
12,22,jus,0.578206,flush
13,22,charge,0.286674,jewelry
14,22,fragile,0.504556,charge
15,22,indulge,0.588307,charge
16,22,challenge,0.492838,larch
17,22,choke,0.374473,charge
18,22,etching,0.380961,charge
19,22,decease,0.683591,zealous
20,22,overseas,0.523423,enzyme
21,22,practice,0.496941,zealous
22,22,criticize,0.654752,enzyme
23,22,emphasize,0.880886,enzyme
24,22,enzyme,0.710556,enzyme
25,22,belonging,0.563121,belonging
26,22,bilingual,0.943005,belonging
27,22,dabble,0.901461,belonging
28,22,appellate,0.863294,belonging
29,22,correspondence,0.912604,belonging
30,22,landscape,0.925986,belonging
